state,date,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,deaths_covid
NJ,2021/01/28,3218,95,2956,96,43,95,14,95,61
NM,2021/01/28,625,54,559,55,15,54,7,54,7
NV,2021/01/28,1297,61,1260,63,6,61,10,61,27
NY,2021/01/28,9216,199,8609,208,125,199,66,199,142
OH,2021/01/28,3201,229,2942,233,71,229,42,229,54
OK,2021/01/28,1433,149,1403,151,76,149,73,149,16
OR,2021/01/28,400,62,314,64,10,62,3,62,4
PA,2021/01/28,4424,222,3837,228,76,222,46,222,54
PR,2021/01/28,271,66,216,67,32,66,5,66,5
RI,2021/01/28,372,14,339,15,2,14,2,14,5
SC,2021/01/28,1883,85,1803,87,6,85,3,85,36
SD,2021/01/28,146,62,118,65,5,62,2,62,1
TN,2021/01/28,1877,112,1774,115,30,112,24,112,32
TX,2021/01/28,12416,587,12006,592,182,587,147,587,217
UT,2021/01/28,538,58,429,59,12,58,0,58,1
VA,2021/01/28,2556,104,2326,107,21,104,13,104,43
WA,2021/01/28,797,103,728,105,24,103,6,103,12
WI,2021/01/28,830,145,778,148,7,145,5,145,11
WV,2021/01/28,631,59,586,63,11,59,4,59,9
AL,2021/01/29,2249,112,2070,114,26,112,16,112,56
AR,2021/01/29,1034,110,891,112,18,110,3,110,18
AZ,2021/01/29,3915,123,3440,126,60,123,35,123,63
CA,2021/01/29,15744,409,15136,417,157,409,138,409,364
CO,2021/01/29,661,103,607,105,23,103,16,103,6
CT,2021/01/29,1099,39,982,40,6,39,4,39,17
DC,2021/01/29,346,13,286,14,29,13,12,13,6
DE,2021/01/29,343,15,308,16,6,15,3,15,10
FL,2021/01/29,7004,263,6523,269,64,263,54,263,96
GA,2021/01/29,4946,168,4715,171,82,168,37,168,105
IA,2021/01/29,376,124,368,126,12,124,8,124,7
ID,2021/01/29,219,51,215,52,4,51,3,51,4
IL,2021/01/29,2681,201,2254,206,40,201,23,201,33
IN,2021/01/29,1636,164,1433,166,21,164,13,164,29
KS,2021/01/29,657,147,595,150,2,147,1,147,14
KY,2021/01/29,1496,116,1389,118,21,116,4,116,22
LA,2021/01/29,1357,219,1464,222,12,219,6,219,16
MA,2021/01/29,1634,100,1456,101,19,100,12,100,38
MD,2021/01/29,1825,59,1480,60,26,59,17,59,23
ME,2021/01/29,206,38,179,39,1,38,1,38,1
MI,2021/01/29,1429,160,1315,164,31,160,30,160,21
MN,2021/01/29,498,139,411,140,14,139,14,139,5
MO,2021/01/29,1736,136,1474,140,70,136,31,136,25
MS,2021/01/29,961,107,833,109,20,107,16,107,13
MT,2021/01/29,109,66,104,67,2,66,2,66,1
NC,2021/01/29,2940,128,2780,132,62,128,35,128,60
ND,2021/01/29,120,49,91,50,3,49,2,49,1
NE,2021/01/29,345,100,324,101,5,100,5,100,3
NJ,2021/01/29,3192,95,2945,96,43,95,12,95,52
NM,2021/01/29,616,53,555,54,11,53,9,53,4
NV,2021/01/29,1250,61,1221,63,5,61,9,61,21
NY,2021/01/29,8994,199,8377,208,122,199,65,199,131
OH,2021/01/29,3056,229,2797,233,114,229,42,229,38
OK,2021/01/29,1370,149,1337,151,70,149,66,149,26
OR,2021/01/29,395,62,305,64,4,62,2,62,4
PA,2021/01/29,4297,222,3762,228,68,222,39,222,68
PR,2021/01/29,271,66,200,67,27,66,5,66,7
RI,2021/01/29,380,14,348,15,2,14,2,14,5
SC,2021/01/29,1843,85,1756,87,6,85,3,85,41
SD,2021/01/29,139,62,113,65,6,62,3,62,4
TN,2021/01/29,1691,111,1650,114,24,111,20,111,42
TX,2021/01/29,11989,586,11514,591,186,586,157,586,224
UT,2021/01/29,520,58,415,59,14,58,0,58,2
VA,2021/01/29,2492,104,2224,107,19,104,12,104,52
WA,2021/01/29,848,103,708,105,25,103,4,103,7
WI,2021/01/29,800,145,767,148,7,145,3,145,18
WV,2021/01/29,595,59,551,63,7,59,1,59,8
WY,2021/01/29,63,30,55,32,3,30,3,30,3
AL,2021/01/30,2146,112,1985,114,25,112,15,112,42
AR,2021/01/30,997,110,851,112,18,110,6,110,12
AZ,2021/01/30,3771,123,3323,126,62,123,38,123,58
CA,2021/01/30,15325,408,14722,416,158,408,131,408,333
CO,2021/01/30,639,103,580,105,28,103,18,103,5
CT,2021/01/30,1055,39,949,40,6,39,4,39,18
DE,2021/01/30,347,15,318,16,5,15,3,15,5
FL,2021/01/30,6808,263,6349,269,64,263,44,263,83
GA,2021/01/30,4735,168,4472,171,62,168,36,168,80
HI,2021/01/30,92,26,75,26,1,26,0,26,1
IA,2021/01/30,365,124,351,126,10,124,7,124,4
ID,2021/01/30,222,51,219,52,5,51,4,51,2
IL,2021/01/30,2565,201,2143,206,48,201,24,201,30
IN,2021/01/30,1585,164,1351,166,23,164,15,164,27
KS,2021/01/30,636,147,577,150,4,147,3,147,20
KY,2021/01/30,1408,116,1325,118,7,116,2,116,23
LA,2021/01/30,1301,219,1400,222,8,219,5,219,19
MA,2021/01/30,1595,100,1421,101,15,100,12,100,26
MD,2021/01/30,1697,59,1404,60,30,59,14,59,17
ME,2021/01/30,193,38,170,39,1,38,1,38,4
MI,2021/01/30,1392,160,1274,164,34,160,29,160,24
MN,2021/01/30,443,139,383,140,12,139,10,139,4
MO,2021/01/30,1691,136,1412,140,80,136,31,136,24
MS,2021/01/30,926,107,805,109,20,107,17,107,13
NC,2021/01/30,2844,128,2685,132,67,128,42,128,48
NE,2021/01/30,318,101,301,102,7,101,5,101,3
NJ,2021/01/30,3036,95,2806,96,37,95,11,95,48
NM,2021/01/30,579,54,509,55,10,54,6,54,7
NV,2021/01/30,1253,61,1154,63,6,61,6,61,27
NY,2021/01/30,8763,199,8165,208,130,199,72,199,130
OH,2021/01/30,2923,229,2631,233,81,229,43,229,51
OK,2021/01/30,1320,149,1268,151,72,149,65,149,32
OR,2021/01/30,391,62,308,64,6,62,3,62,5
PA,2021/01/30,4046,222,3526,228,74,221,42,221,53
PR,2021/01/30,266,66,199,67,29,66,5,66,6
RI,2021/01/30,368,14,335,15,2,14,2,14,5
SC,2021/01/30,1771,85,1659,87,7,85,4,85,35
SD,2021/01/30,119,62,98,65,5,62,3,62,4
TN,2021/01/30,1596,112,1549,115,17,112,10,112,40
TX,2021/01/30,11772,586,11245,591,166,586,137,586,194
UT,2021/01/30,513,58,398,59,14,58,0,58,2
VA,2021/01/30,2414,104,2138,107,17,104,11,104,48
WA,2021/01/30,816,103,695,105,20,103,2,103,11
WI,2021/01/30,764,144,703,147,13,144,3,144,10
WV,2021/01/30,572,59,529,63,1,59,0,59,8
WY,2021/01/30,63,30,52,32,3,30,3,30,3
AL,2021/01/31,2196,112,1992,114,22,112,12,112,40
AR,2021/01/31,972,110,850,112,16,110,9,110,10
AZ,2021/01/31,3675,123,3236,126,48,123,42,123,68
CA,2021/01/31,14921,408,14359,416,152,408,116,408,344
CO,2021/01/31,619,103,561,105,19,103,10,103,8
CT,2021/01/31,1027,39,924,40,3,39,3,39,16
DC,2021/01/31,297,13,273,14,25,13,8,13,1
DE,2021/01/31,342,15,325,16,6,15,4,15,4
FL,2021/01/31,6745,263,6320,269,56,263,40,263,84
GA,2021/01/31,4651,168,4383,171,47,168,30,168,64
HI,2021/01/31,94,26,74,26,1,26,0,26,1
IA,2021/01/31,371,124,363,126,8,124,5,124,5
ID,2021/01/31,206,51,199,52,3,51,3,51,2
IL,2021/01/31,2540,201,2128,206,49,201,24,201,23
IN,2021/01/31,1581,164,1328,166,25,164,16,164,15
KS,2021/01/31,633,147,565,150,7,147,4,147,24
KY,2021/01/31,1397,116,1308,118,10,116,0,116,24
LA,2021/01/31,1260,219,1369,222,11,219,7,219,18
MA,2021/01/31,1569,100,1424,101,18,100,13,100,23
MD,2021/01/31,1680,59,1388,60,19,59,14,59,23
ME,2021/01/31,202,38,169,39,1,38,1,38,1
MI,2021/01/31,1395,160,1252,164,30,160,27,160,20
MN,2021/01/31,432,139,384,140,10,139,9,139,2
MO,2021/01/31,1634,136,1368,140,66,136,28,136,24
MS,2021/01/31,934,107,811,109,18,107,13,107,7
MT,2021/01/31,127,66,120,67,1,66,1,66,2
NC,2021/01/31,2841,128,2667,132,70,128,38,128,62
NE,2021/01/31,312,101,302,102,3,101,3,101,3
NJ,2021/01/31,2979,95,2785,96,27,95,4,95,58
NM,2021/01/31,586,54,512,55,14,54,6,54,17
NV,2021/01/31,1254,61,1132,63,4,61,6,61,29
NY,2021/01/31,8808,199,8173,208,131,199,74,199,114
OH,2021/01/31,2816,229,2555,233,65,229,41,229,135
OK,2021/01/31,1286,149,1265,151,69,149,64,149,14
OR,2021/01/31,377,62,307,64,6,62,1,62,3
PA,2021/01/31,3963,222,3504,228,74,221,40,221,64
PR,2021/01/31,272,66,201,67,26,66,5,66,6
RI,2021/01/31,352,14,319,15,3,14,3,14,4
SC,2021/01/31,1750,85,1641,87,5,85,5,85,42
SD,2021/01/31,121,62,99,65,4,62,2,62,3
TN,2021/01/31,1584,110,1516,113,17,110,9,110,26
TX,2021/01/31,11657,586,11170,591,180,586,132,586,178
VA,2021/01/31,2367,104,2117,107,20,104,13,104,25
WA,2021/01/31,832,103,725,105,22,103,2,103,7
WI,2021/01/31,778,144,730,147,11,144,4,144,17
WY,2021/01/31,62,30,54,32,3,30,3,30,1
AL,2021/02/01,2027,106,1887,108,26,106,16,106,22
AR,2021/02/01,823,90,771,92,14,90,7,90,7
AZ,2021/02/01,3456,101,3117,104,48,101,35,101,55
CA,2021/02/01,14791,372,14239,380,143,372,128,372,347
CO,2021/02/01,601,94,542,96,19,94,9,94,9
CT,2021/02/01,1034,32,910,33,4,32,3,32,15
DC,2021/02/01,296,13,270,14,24,13,8,13,8
DE,2021/02/01,326,9,323,10,6,9,6,9,3
FL,2021/02/01,6671,225,6358,231,56,225,44,225,99
GA,2021/02/01,4547,151,4300,154,63,151,36,151,75
IA,2021/02/01,398,120,385,122,7,120,3,120,3
ID,2021/02/01,201,47,194,48,2,47,2,47,3
IL,2021/02/01,2484,185,2101,190,50,185,23,185,32
IN,2021/02/01,1565,136,1309,138,23,136,19,136,28
KS,2021/02/01,615,138,568,141,6,138,4,138,29
KY,2021/02/01,1344,101,1273,103,10,101,2,101,23
LA,2021/02/01,1289,219,1397,222,18,219,10,219,16
MA,2021/02/01,1444,78,1330,79,16,78,11,78,32
MD,2021/02/01,1701,51,1399,52,26,51,14,51,24
ME,2021/02/01,192,36,172,37,3,36,1,36,1
MI,2021/02/01,1373,157,1232,161,36,157,29,157,22
MN,2021/02/01,447,131,393,132,13,131,9,131,6
MO,2021/02/01,1617,121,1380,125,58,121,27,121,15
MS,2021/02/01,926,99,810,101,27,99,14,99,19
MT,2021/02/01,128,65,115,66,2,65,2,65,3
NC,2021/02/01,2778,115,2654,119,43,115,32,115,59
NE,2021/02/01,323,100,304,101,5,100,4,100,4
NJ,2021/02/01,2947,77,2775,78,27,77,7,77,44
NM,2021/02/01,539,52,503,53,7,52,6,52,15
NV,2021/02/01,1192,58,1163,60,7,58,8,58,26
NY,2021/02/01,8811,172,8170,181,115,172,64,172,119
OH,2021/02/01,2829,195,2594,199,65,195,39,195,125
OK,2021/02/01,1317,141,1280,143,63,141,59,141,18
PA,2021/02/01,3909,200,3321,206,80,199,42,199,48
PR,2021/02/01,271,66,202,67,29,66,2,66,3
RI,2021/02/01,373,14,334,15,3,14,3,14,3
SC,2021/02/01,1667,67,1628,69,11,67,6,67,33
SD,2021/02/01,127,60,109,63,1,60,0,60,3
TN,2021/02/01,1599,111,1540,114,35,111,20,111,36
TX,2021/02/01,11528,582,11050,587,173,582,142,582,183
VA,2021/02/01,2316,92,2125,95,24,92,13,92,50
WA,2021/02/01,786,93,712,95,9,93,5,93,8
WI,2021/02/01,770,140,734,143,9,140,4,140,14
WV,2021/02/01,513,55,504,59,2,55,0,55,7
AL,2021/02/02,1948,105,1862,107,26,105,18,105,33
AR,2021/02/02,846,89,770,91,18,89,8,89,15
AZ,2021/02/02,3384,101,2975,104,49,101,34,101,60
CA,2021/02/02,14373,372,13784,380,154,372,134,372,356
CO,2021/02/02,610,94,538,96,24,94,14,94,6
CT,2021/02/02,983,32,884,33,5,32,4,32,15
DC,2021/02/02,344,13,273,14,24,13,7,13,4
DE,2021/02/02,344,9,333,10,6,9,6,9,6
FL,2021/02/02,6594,225,6128,231,67,225,52,225,89
GA,2021/02/02,4435,154,4216,157,67,154,39,154,63
IA,2021/02/02,390,120,377,122,6,120,5,120,7
ID,2021/02/02,194,47,185,48,5,47,3,47,1
IL,2021/02/02,2477,183,2045,188,49,183,25,183,27
IN,2021/02/02,1501,136,1259,138,31,136,21,136,17
KS,2021/02/02,602,138,546,141,3,138,2,138,12
KY,2021/02/02,1350,101,1259,103,15,101,2,101,23
LA,2021/02/02,1260,219,1362,222,16,219,13,219,19
MA,2021/02/02,1501,78,1351,79,17,78,14,78,29
MD,2021/02/02,1685,51,1382,52,22,51,13,51,22
ME,2021/02/02,183,36,164,37,2,36,1,36,1
MI,2021/02/02,1372,157,1238,161,29,157,28,157,16
MN,2021/02/02,447,130,378,131,17,130,9,130,5
MO,2021/02/02,1632,121,1350,125,50,121,28,121,20
MS,2021/02/02,929,99,795,101,21,99,12,99,22
MT,2021/02/02,119,66,113,67,3,66,3,66,3
NC,2021/02/02,2725,115,2592,119,41,115,30,115,58
NE,2021/02/02,325,100,300,101,9,100,4,100,5
NH,2021/02/02,207,28,193,28,1,28,0,28,1
NJ,2021/02/02,3039,77,2855,78,30,77,8,77,43
NM,2021/02/02,537,52,481,53,11,52,5,52,6
NV,2021/02/02,1155,58,1119,60,4,58,6,58,27
NY,2021/02/02,8890,172,8265,181,178,172,51,172,144
OH,2021/02/02,2855,195,2573,199,61,195,38,195,134
OK,2021/02/02,1266,141,1230,143,68,141,60,141,19
OR,2021/02/02,368,61,289,63,16,61,5,61,5
PA,2021/02/02,4078,200,3360,206,88,199,39,199,57
PR,2021/02/02,282,66,203,67,28,66,2,66,5
RI,2021/02/02,361,14,331,15,3,14,3,14,7
SC,2021/02/02,1624,67,1571,69,10,67,5,67,38
SD,2021/02/02,127,60,107,63,1,60,0,60,2
TN,2021/02/02,1555,111,1476,114,18,111,16,111,33
TX,2021/02/02,11422,582,10864,587,177,582,144,582,203
VA,2021/02/02,2368,92,2121,95,26,92,13,92,30
WA,2021/02/02,759,93,686,95,7,93,2,93,13
WI,2021/02/02,757,140,718,143,12,140,5,140,8
WV,2021/02/02,508,55,497,59,3,55,0,55,9
WY,2021/02/02,62,29,51,31,1,29,0,29,1
AL,2021/02/03,1992,115,1831,117,32,115,24,115,44
AR,2021/02/03,897,109,789,111,18,109,6,109,21
AZ,2021/02/03,3387,122,2933,125,51,122,37,122,77
CA,2021/02/03,14016,410,13337,418,146,410,126,410,316
CO,2021/02/03,621,103,554,105,20,103,12,103,6
CT,2021/02/03,978,39,851,40,8,39,5,39,16
DC,2021/02/03,320,13,278,14,27,13,6,13,1
DE,2021/02/03,326,15,315,16,8,15,6,15,4
FL,2021/02/03,6404,263,5975,269,63,263,49,263,93
GA,2021/02/03,4398,168,4135,171,74,168,45,168,93
HI,2021/02/03,85,26,65,26,1,26,0,26,1
IA,2021/02/03,380,124,356,126,6,124,4,124,7
ID,2021/02/03,204,51,193,52,3,51,3,51,4
IL,2021/02/03,2437,201,2011,206,55,201,28,201,35
IN,2021/02/03,1508,164,1236,166,20,164,15,164,15
KS,2021/02/03,612,147,547,150,3,147,1,147,11
KY,2021/02/03,1405,116,1300,118,6,116,1,116,16
LA,2021/02/03,1190,219,1278,222,19,219,16,219,18
MA,2021/02/03,1481,101,1310,102,15,101,12,101,33
MD,2021/02/03,1719,59,1381,60,17,59,13,59,11
ME,2021/02/03,181,38,162,39,1,38,1,38,3
MI,2021/02/03,1357,159,1244,163,22,159,20,159,12
MN,2021/02/03,456,139,367,140,12,139,10,139,3
MO,2021/02/03,1598,136,1309,140,68,136,37,136,21
MS,2021/02/03,874,107,754,109,21,107,12,107,15
MT,2021/02/03,117,66,115,67,3,66,2,66,2
NC,2021/02/03,2639,128,2548,132,45,128,30,128,40
NE,2021/02/03,289,101,272,102,9,101,6,101,2
NJ,2021/02/03,3103,95,2859,96,22,95,5,95,64
NM,2021/02/03,537,54,451,55,15,54,6,54,5
NV,2021/02/03,1170,61,1113,63,5,61,9,61,31
NY,2021/02/03,8820,198,8223,207,196,198,48,198,111
OH,2021/02/03,2776,229,2503,233,73,229,34,229,43
OK,2021/02/03,1261,148,1216,150,60,148,58,148,26
OR,2021/02/03,368,62,298,64,13,62,6,62,2
PA,2021/02/03,4023,222,3352,228,87,222,41,222,51
PR,2021/02/03,307,66,225,67,28,66,3,66,55
RI,2021/02/03,358,14,323,15,2,14,2,14,4
SC,2021/02/03,1619,85,1537,87,4,85,3,85,33
SD,2021/02/03,123,62,101,65,3,62,1,62,1
TN,2021/02/03,1528,115,1440,118,15,115,9,115,27
TX,2021/02/03,11129,586,10571,591,179,586,147,586,190
UT,2021/02/03,452,58,369,59,7,58,0,58,3
VA,2021/02/03,2367,103,2099,106,31,103,13,103,46
WA,2021/02/03,757,103,669,105,20,103,3,103,12
WI,2021/02/03,744,147,695,150,12,147,4,147,6
WV,2021/02/03,522,59,459,63,1,59,0,59,13
WY,2021/02/03,53,30,44,32,1,30,0,30,2
AL,2021/02/04,1904,113,1747,115,29,113,20,113,36
AR,2021/02/04,886,109,764,111,16,109,8,109,21
AZ,2021/02/04,3251,122,2766,125,57,122,36,122,72
CA,2021/02/04,13514,410,12892,418,138,410,122,410,292
CO,2021/02/04,615,103,547,105,19,103,11,103,9
CT,2021/02/04,940,39,835,40,10,39,5,39,22
DC,2021/02/04,328,13,289,14,22,13,8,13,6
DE,2021/02/04,307,15,296,16,7,15,4,15,3
FL,2021/02/04,6191,263,5753,269,59,263,44,263,105
GA,2021/02/04,4205,168,3984,171,76,168,46,168,85
IA,2021/02/04,365,124,345,126,5,124,3,124,4
ID,2021/02/04,193,51,174,52,3,51,3,51,2
IL,2021/02/04,2387,201,1934,206,52,201,27,201,27
IN,2021/02/04,1456,164,1184,166,18,164,13,164,28
KS,2021/02/04,606,147,536,150,4,147,1,147,10
KY,2021/02/04,1377,116,1267,118,2,116,1,116,28
LA,2021/02/04,1148,219,1259,222,18,219,15,219,16
MA,2021/02/04,1445,101,1273,102,19,101,11,101,27
MD,2021/02/04,1735,59,1386,60,19,59,13,59,24
ME,2021/02/04,179,38,156,39,1,38,0,38,4
MI,2021/02/04,1329,160,1191,164,16,160,13,160,24
MN,2021/02/04,435,139,362,140,11,139,8,139,5
MO,2021/02/04,1610,136,1301,140,66,136,36,136,21
MS,2021/02/04,854,107,726,109,17,107,10,107,18
NC,2021/02/04,2506,128,2408,132,44,128,26,128,44
ND,2021/02/04,111,49,67,50,5,49,3,49,1
NE,2021/02/04,294,100,277,101,11,100,9,100,4
NH,2021/02/04,210,30,190,30,1,30,1,30,2
NJ,2021/02/04,3065,95,2814,96,19,95,5,95,52
NM,2021/02/04,490,54,415,55,18,54,5,54,11
NV,2021/02/04,1129,61,1051,63,3,61,7,61,27
NY,2021/02/04,8775,199,8184,208,205,199,53,199,136
OH,2021/02/04,2699,230,2400,234,67,230,37,230,48
OK,2021/02/04,1197,148,1159,150,61,148,57,148,24
OR,2021/02/04,351,62,283,64,6,62,2,62,4
PA,2021/02/04,3750,222,3262,228,63,222,35,222,62
PR,2021/02/04,274,66,212,67,24,66,3,66,60
RI,2021/02/04,342,14,310,15,3,14,3,14,5
SC,2021/02/04,1574,85,1468,87,8,85,5,85,38
SD,2021/02/04,118,62,96,65,3,62,0,62,1
TN,2021/02/04,1495,110,1417,113,16,110,13,110,31
TX,2021/02/04,10956,586,10290,591,166,586,134,586,223
UT,2021/02/04,437,58,347,59,9,58,0,58,1
VA,2021/02/04,2281,103,2038,106,26,103,13,103,42
WA,2021/02/04,728,103,648,105,16,103,2,103,11
WI,2021/02/04,696,147,650,150,16,147,7,147,16
WV,2021/02/04,501,59,447,63,2,59,0,59,10
AL,2021/02/05,1879,113,1740,115,29,113,21,113,30
AR,2021/02/05,890,109,770,111,11,109,8,109,17
AZ,2021/02/05,3101,122,2680,125,56,122,41,122,46
CA,2021/02/05,12978,410,12359,418,153,410,133,410,301
CO,2021/02/05,579,103,509,105,23,103,12,103,7
CT,2021/02/05,973,39,861,40,6,39,4,39,16
DC,2021/02/05,332,13,268,14,16,13,5,13,7
DE,2021/02/05,289,15,269,16,4,15,2,15,2
FL,2021/02/05,6014,263,5589,269,57,263,42,263,105
GA,2021/02/05,4111,168,3865,171,66,168,50,168,61
IA,2021/02/05,349,124,331,126,4,124,4,124,7
ID,2021/02/05,185,51,178,52,3,51,3,51,2
IL,2021/02/05,2372,201,1943,206,46,201,28,201,30
IN,2021/02/05,1370,164,1112,166,26,164,13,164,19
KS,2021/02/05,587,147,525,150,3,147,1,147,31
KY,2021/02/05,1350,116,1238,118,2,116,3,116,21
LA,2021/02/05,1117,219,1235,222,18,219,9,219,14
MA,2021/02/05,1389,101,1232,102,19,101,14,101,18
MD,2021/02/05,1714,59,1366,60,17,59,13,59,21
ME,2021/02/05,160,38,141,39,1,38,0,38,2
MI,2021/02/05,1294,160,1184,164,14,160,12,160,25
MN,2021/02/05,461,139,366,140,10,139,9,139,4
MO,2021/02/05,1564,136,1248,140,73,136,38,136,27
MS,2021/02/05,830,107,698,109,16,107,10,107,13
MT,2021/02/05,112,66,110,67,3,66,3,66,2
NC,2021/02/05,2454,128,2374,132,37,128,24,128,53
ND,2021/02/05,113,49,71,50,4,49,3,49,1
NE,2021/02/05,288,100,274,101,4,100,5,100,10
NH,2021/02/05,190,30,174,30,2,30,1,30,5
NJ,2021/02/05,3065,95,2804,96,22,95,6,95,39
NM,2021/02/05,478,54,427,55,18,54,8,54,5
NV,2021/02/05,1034,61,973,63,2,61,7,61,20
NY,2021/02/05,8646,199,8027,208,206,199,59,199,147
OH,2021/02/05,2455,230,2188,234,73,230,37,230,46
OK,2021/02/05,1184,148,1134,150,61,148,58,148,25
OR,2021/02/05,341,62,282,64,9,62,4,62,4
PA,2021/02/05,3691,222,3149,228,82,221,38,221,61
PR,2021/02/05,277,66,196,67,24,66,3,66,56
RI,2021/02/05,321,14,288,15,4,14,4,14,1
SC,2021/02/05,1514,85,1411,87,8,85,6,85,37
SD,2021/02/05,112,62,91,65,3,62,0,62,2
TN,2021/02/05,1447,111,1358,114,16,111,12,111,32
TX,2021/02/05,10605,586,9949,591,163,586,133,586,179
UT,2021/02/05,433,58,336,59,6,58,0,58,1
VA,2021/02/05,2243,103,1980,106,32,103,17,103,26
VT,2021/02/05,64,16,56,17,1,16,1,16,1
WA,2021/02/05,705,103,641,105,16,103,3,103,14
WI,2021/02/05,672,147,641,150,10,147,3,147,14
WV,2021/02/05,492,59,434,63,3,59,2,59,7
AL,2021/02/06,1807,113,1641,115,27,113,22,113,35
AR,2021/02/06,878,109,757,111,13,109,8,109,17
AZ,2021/02/06,2961,122,2550,125,51,122,40,122,51
CA,2021/02/06,12340,410,11750,418,139,410,113,410,312
CO,2021/02/06,591,103,480,105,22,103,10,103,8
CT,2021/02/06,922,39,822,40,8,39,5,39,17
DC,2021/02/06,306,13,268,14,23,13,4,13,2
FL,2021/02/06,5903,263,5471,269,49,263,35,263,89
GA,2021/02/06,3966,168,3726,171,59,168,47,168,59
HI,2021/02/06,86,26,69,26,1,26,1,26,2
IA,2021/02/06,325,124,314,126,2,124,2,124,6
ID,2021/02/06,176,51,170,52,3,51,3,51,1
IL,2021/02/06,2248,201,1826,206,50,201,26,201,21
IN,2021/02/06,1288,164,1020,166,18,164,11,164,15
KS,2021/02/06,559,147,499,150,2,147,1,147,16
KY,2021/02/06,1325,116,1210,118,2,116,4,116,31
LA,2021/02/06,1052,219,1155,222,11,219,10,219,18
MA,2021/02/06,1315,101,1161,102,15,101,14,101,23
MD,2021/02/06,1717,59,1383,60,33,59,11,59,27
ME,2021/02/06,163,38,138,39,1,38,0,38,3
MI,2021/02/06,1240,160,1119,164,16,160,11,160,24
MN,2021/02/06,443,139,350,140,15,139,10,139,2
MO,2021/02/06,1487,136,1189,140,76,136,38,136,13
MS,2021/02/06,752,106,628,108,15,106,9,106,13
MT,2021/02/06,104,66,100,67,2,66,2,66,2
NC,2021/02/06,2380,128,2280,132,39,128,25,128,36
ND,2021/02/06,118,49,77,50,1,49,1,49,2
NE,2021/02/06,278,100,265,101,4,100,5,100,4
NJ,2021/02/06,2975,95,2732,96,25,95,10,95,58
NM,2021/02/06,468,54,416,55,9,54,4,54,8
NV,2021/02/06,1043,61,980,63,6,61,5,61,16
NY,2021/02/06,8484,199,7858,208,198,199,57,199,138
OH,2021/02/06,2292,230,2041,234,70,230,34,230,34
OK,2021/02/06,1125,148,1092,150,60,148,54,148,28
OR,2021/02/06,330,61,262,63,8,61,3,61,3
PA,2021/02/06,3530,222,3052,228,57,221,35,221,48
PR,2021/02/06,261,66,199,67,22,66,3,66,7
RI,2021/02/06,300,14,267,15,4,14,4,14,4
SC,2021/02/06,1468,85,1372,87,8,85,3,85,25
SD,2021/02/06,108,62,89,65,4,62,1,62,3
TN,2021/02/06,1348,110,1291,113,15,110,14,110,31
TX,2021/02/06,10258,586,9658,591,171,586,139,586,181
UT,2021/02/06,403,58,328,59,9,58,0,58,1
VA,2021/02/06,2185,103,1919,106,25,103,15,103,36
WA,2021/02/06,712,103,644,105,19,103,4,103,9
WI,2021/02/06,656,147,620,150,12,147,4,147,13
WV,2021/02/06,500,59,435,63,3,59,2,59,4
AL,2021/02/07,1802,113,1609,115,28,113,18,113,32
AR,2021/02/07,882,109,756,111,8,109,3,109,9
AZ,2021/02/07,2859,122,2457,125,56,122,37,122,46
CA,2021/02/07,11954,410,11425,418,137,410,114,410,255
CO,2021/02/07,561,103,495,105,18,103,11,103,5
CT,2021/02/07,922,39,835,40,12,39,7,39,16
DC,2021/02/07,297,13,265,14,25,13,5,13,3
DE,2021/02/07,260,15,245,16,7,15,5,15,4
FL,2021/02/07,5873,263,5469,269,50,263,34,263,86
GA,2021/02/07,3900,168,3686,171,68,168,42,168,81
IA,2021/02/07,327,124,315,126,2,124,1,124,4
ID,2021/02/07,171,51,168,52,3,51,3,51,1
IL,2021/02/07,2345,201,1820,206,48,201,25,201,30
IN,2021/02/07,1284,164,1017,166,17,164,10,164,13
KS,2021/02/07,558,147,500,150,1,147,0,147,30
KY,2021/02/07,1278,116,1185,118,7,116,6,116,17
LA,2021/02/07,1028,219,1147,222,13,219,8,219,9
MA,2021/02/07,1293,101,1149,102,20,101,14,101,15
MD,2021/02/07,1725,59,1360,60,18,59,12,59,15
MI,2021/02/07,1246,160,1104,164,18,160,13,160,22
MN,2021/02/07,397,139,333,140,10,139,6,139,3
MO,2021/02/07,1455,136,1175,140,71,136,31,136,10
MS,2021/02/07,749,106,627,108,8,106,6,106,17
MT,2021/02/07,104,65,97,66,3,65,3,65,1
NC,2021/02/07,2363,128,2262,132,43,128,23,128,32
ND,2021/02/07,106,49,72,50,1,49,1,49,2
NH,2021/02/07,185,30,162,30,1,30,0,30,1
NJ,2021/02/07,2965,95,2733,96,24,95,8,95,42
NM,2021/02/07,457,54,413,55,17,54,8,54,10
NV,2021/02/07,1014,61,957,63,4,61,5,61,15
NY,2021/02/07,8523,199,7903,208,201,199,62,199,107
OH,2021/02/07,2209,230,1979,234,75,230,35,230,32
